Counties,Year,Median AQI,pct_under_18,pct_18_64,pct_65_plus,median_age,pct_AI/AN,pct_Asian,pct_Black,pct_Latino,pct_Multi_Race,pct_NH/PI,pct_White,COPD_Hospitalization_Rate,Poverty_AllAges_Percent_Est,Median_Household_Income_Est
Placer,2019,49.0,22.96904680696391,58.212318041382126,18.818635151653964,40.519255808858496,0.4921938601492266,8.457419131577835,1.569692609125379,18.174326750001867,5.632719315061332,0.2342713315126061,65.43937700257175,6.43,6.6,97688
Placer,2020,57.0,23.628737733924112,57.32169524438508,19.04956702169081,40.39189588806143,0.4778286519761258,8.48903630906322,1.3805034081331908,18.81619738093713,5.757601147380198,0.2338625016634055,64.84497060084674,4.62,6.5,100662
Placer,2021,58.0,23.17543868231427,57.22193142516107,19.602629892524668,40.7042055777594,0.47622774790993,8.722525792612233,1.253063560627926,18.8955038425978,5.847793013369599,0.2338334499239307,64.57105259295858,4.07,6.6,103588
Placer,2022,54.0,22.70784137108357,57.19624120554081,20.09591742337561,40.94827032159116,0.4730140954792219,8.905470214475255,1.1931251065072912,19.014533680648537,5.926674294617426,0.2356549894101322,64.25152761886214,4.59,6.2,106114
Placer,2023,52.0,22.297385510301776,57.05385162154452,20.648762868153707,41.19229095445556,0.4702406568379519,9.1381419570715,1.121566276129182,19.15197114245512,6.013036183144834,0.2349994439313569,63.870044340430056,4.28,6.5,110020
Plumas,2000,42.0,22.791830139625286,59.83824127098391,17.369928589390803,41.49756692918853,2.184104283692714,0.5478763643926997,0.6777612007928205,5.974267487449658,2.035798198916562,0.0966009506828704,88.48359151407267,63.43,11.1,38225
Plumas,2001,36.0,21.73945403475931,60.70054850521244,17.55999746002825,41.86558595502622,2.2092847416642627,0.5454593536932115,0.6869266561886452,6.139158582355709,2.163958231859251,0.0952372460807219,88.15997518815819,34.32,10.8,37431
Plumas,2002,56.0,20.841769322715443,61.36231859666034,17.79591208062423,42.22158256144536,2.224032914600244,0.5519451977282391,0.6933254620613261,6.2190944876309,2.2189579362236977,0.0949784578231069,87.99766554393248,25.54,9.8,38558
Plumas,2003,42.0,20.28175899553885,61.72338764819233,17.994853356268806,42.47742375184039,2.229022825348327,0.5598654292730013,0.691716418291992,6.354952014552044,2.2735073232673506,0.0942694890275728,87.79666650023971,31.3,10.1,39514
Plumas,2004,42.0,19.906205453309227,61.91867027474578,18.175124271944984,42.7097283024915,2.2626366449934108,0.568465353012385,0.7170246918888826,6.555226606116403,2.3527263603170376,0.0929668079357871,87.45095353573609,34.8,9.8,41309
Plumas,2005,41.0,19.70949055770525,61.9246645510533,18.36584489124144,42.966205008468414,2.2765730318472697,0.5789648313308964,0.7546251113970778,6.703943132304264,2.390355275821817,0.0936483464621298,87.20189027083653,33.56,11.6,40982
Plumas,2006,40.0,19.695999304383594,61.6859822288824,18.618018466734004,43.20778886105925,2.2587797993290955,0.5860219986788373,0.7798586645364923,6.867770718863812,2.437636093230756,0.0939436005144519,86.97598912484655,28.45,10.8,46527
Plumas,2007,56.0,19.666148658202616,61.41453031765964,18.91932102413773,43.47873898207839,2.264293272971143,0.5900404236218809,0.8165038705446517,7.064746746066551,2.481715158129258,0.093083912364046,86.68961661630246,27.87,11.5,45516
Plumas,2008,55.0,19.57160874633853,61.028532181979024,19.39985907168245,43.765077185583415,2.26256186852176,0.6035574477235746,0.8246377195284773,7.276416677524739,2.525753036655378,0.0928151240254972,86.41425812602058,26.58,12.0,48770
Plumas,2009,53.0,18.82237963997106,60.30438723825975,20.87323312176918,44.344922734325145,2.2620871527752864,0.6236961800199017,0.8723944309213268,7.577708697005546,2.6304167593545804,0.0922219796964645,85.94147480022689,26.06,12.3,42684
Plumas,2010,44.0,17.978483862897175,61.00075056292219,21.02076557418064,44.57503127345509,2.306730047535652,0.6304728546409807,0.9256942707030272,8.236177132849637,2.9171878909181888,0.0950713034776082,84.88866649987492,27.75,15.3,41421
Plumas,2011,51.0,17.848729386998148,60.2325697960002,21.918700817001653,44.78772993834895,2.3307102400882163,0.646584131121247,0.9573454964663426,8.505839306300436,3.0173926118991528,0.1002456017242243,84.44188261240038,22.67,14.8,44923
Plumas,2012,48.0,18.05262629306016,59.38535703525159,22.56201667168826,44.718740584513405,2.2044792608215324,0.6578286632519835,0.8787787486190619,10.319373305212414,3.399618358943457,0.1104750426835392,82.42944662046801,23.12,14.9,46450
Plumas,2013,53.0,18.14099005904022,58.5002775394863,23.358732401473485,44.747439067467326,2.205177372962608,0.6711409395973155,0.8528031488116264,11.75758187414846,3.6887520815461454,0.1110157945198566,80.713528788414,23.76,15.7,47645
Plumas,2014,52.0,18.35558252427184,57.5293284789644,24.11508899676376,44.74302184466019,2.184466019417476,0.6674757281553397,0.8394012944983817,13.192758899676376,4.065533980582525,0.1112459546925566,78.93911812297735,19.94,14.0,47964
Plumas,2015,56.0,18.481295365717475,56.4945941830364,25.02411045124613,44.79011217704685,2.147099132023755,0.7004720572559768,0.8476727069691894,14.577940206080909,4.344957108776204,0.1218212273488655,77.2600375615451,16.6,13.8,46813
Plumas,2016,43.0,18.579707198047988,55.68828792191948,25.73200488003253,44.87189914599431,2.1502643350955672,0.6913379422529483,0.8235054900366002,15.9312728751525,4.681781211874745,0.1321675477836519,75.58967059780399,16.54,12.6,53646
Plumas,2017,47.0,18.4808064351899,54.89766826188779,26.62152530292231,45.07509418592812,2.082272680989716,0.7076672436615415,0.8247632623969046,15.991243254251094,4.709296405661338,0.1374605437328174,75.54729660930658,17.78,14.3,51756
Plumas,2018,47.0,18.08939974457216,54.23243933588762,27.67816091954023,45.46528735632184,2.0689655172413794,0.7100893997445722,0.8173690932311622,16.189016602809705,4.577266922094508,0.1328224776500638,75.5044699872286,27.53,12.5,55079
Plumas,2019,34.0,18.01383349320947,53.491189983339225,28.494976523451303,45.792800525066895,2.0245367799262883,0.7017721007724542,0.8077952239107387,16.484071287928508,4.609481496440653,0.131266723885495,75.24107638713586,18.36,13.2,59376
