County,1/1/00,1/1/01,1/1/02,1/1/03,1/1/04,1/1/05,1/1/06,1/1/07,1/1/08,1/1/09,1/1/10,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,1/1/2017,1/1/2018,1/1/2019,1/1/2020,1/1/2021,1/1/2022,1/1/2023,1/1/2024,1/1/2025
Orange              ,"2,831,799","2,871,926","2,902,207","2,927,118","2,948,135","2,956,847","2,956,334","2,960,659","2,974,321","2,990,805","3,008,855"," 	3,037,811 "," 	3,073,792 "," 	3,105,236 "," 	3,125,985 "," 	3,148,491 "," 	3,165,028 "," 	3,185,541 "," 	3,192,479 "," 	3,192,408 "," 	3,188,326 "," 	3,174,592 "," 	3,159,797 "," 	3,156,200 "," 	3,170,070 "," 	3,175,427 "
Placer              ,"246,712","258,293","270,845","283,703","296,712","307,710","317,437","325,985","333,805","340,995","347,133"," 	354,618 "," 	360,512 "," 	365,195 "," 	369,910 "," 	373,578 "," 	379,143 "," 	386,586 "," 	392,693 "," 	399,659 "," 	403,822 "," 	407,282 "," 	409,924 "," 	410,319 "," 	420,436 "," 	421,446 "
Plumas              ,"20,801","20,681","20,702","20,722","20,824","20,880","20,785","20,654","20,483","20,216","20,045"," 	19,977 "," 	19,700 "," 	19,345 "," 	19,120 "," 	19,035 "," 	19,017 "," 	19,365 "," 	19,388 "," 	19,655 "," 	19,780 "," 	19,662 "," 	19,332 "," 	18,988 "," 	18,802 "," 	18,885 "
Riverside           ,"1,535,125","1,589,708","1,655,291","1,730,219","1,814,485","1,895,695","1,975,913","2,049,902","2,102,741","2,140,626","2,179,692"," 	2,213,474 "," 	2,239,478 "," 	2,260,809 "," 	2,280,208 "," 	2,302,000 "," 	2,326,213 "," 	2,355,286 "," 	2,375,547 "," 	2,394,094 "," 	2,412,908 "," 	2,423,069 "," 	2,435,510 "," 	2,467,690 "," 	2,491,037 "," 	2,495,640 "
Sacramento,"1,217,219","1,248,072","1,279,588","1,307,189","1,331,910","1,350,523","1,365,214","1,380,172","1,394,510","1,406,168","1,417,259"," 	1,431,665 "," 	1,447,519 "," 	1,461,786 "," 	1,476,829 "," 	1,495,130 "," 	1,511,942 "," 	1,530,548 "," 	1,547,095 "," 	1,562,887 "," 	1,580,826 "," 	1,581,162 "," 	1,577,672 "," 	1,583,676 "," 	1,596,281 "," 	1,604,745 "
San Benito  ,"52,884","54,165","54,948","55,330","55,374","55,221","55,025","54,948","55,022","55,068","55,272"," 	55,835 "," 	56,778 "," 	57,386 "," 	58,212 "," 	58,839 "," 	59,563 "," 	60,499 "," 	61,143 "," 	62,734 "," 	63,931 "," 	64,712 "," 	65,751 "," 	65,370 "," 	66,514 "," 	66,822 "
San Bernardino    ,"1,701,374","1,741,416","1,782,268","1,825,379","1,875,063","1,921,423","1,959,715","1,989,690","2,009,594","2,019,432","2,033,141"," 	2,055,566 "," 	2,072,061 "," 	2,085,599 "," 	2,096,526 "," 	2,114,182 "," 	2,124,990 "," 	2,142,339 "," 	2,153,258 "," 	2,169,538 "," 	2,179,505 "," 	2,179,941 "," 	2,183,077 "," 	2,182,351 "," 	2,200,351 "," 	2,207,424 "
San Diego           ,"2,801,336","2,849,238","2,890,256","2,927,216","2,953,703","2,966,783","2,976,492","2,998,477","3,032,689","3,064,436","3,091,579"," 	3,124,985 "," 	3,155,715 "," 	3,190,323 "," 	3,219,710 "," 	3,248,180 "," 	3,263,004 "," 	3,279,856 "," 	3,294,139 "," 	3,302,865 "," 	3,297,350 "," 	3,289,937 "," 	3,283,556 "," 	3,300,587 "," 	3,315,362 "," 	3,330,139 "
San Francisco,"773,312","780,614","782,765","782,599","781,308","780,187","781,295","787,127","795,002","800,239","804,989"," 	815,714 "," 	826,354 "," 	839,556 "," 	846,661 "," 	855,489 "," 	861,977 "," 	867,378 "," 	872,724 "," 	872,219 "," 	873,444 "," 	857,605 "," 	840,348 "," 	848,036 "," 	845,355 "," 	842,027 "
San Joaquin,"560,634","578,121","596,039","612,295","629,787","645,059","656,247","665,304","672,492","677,833","684,057"," 	692,465 "," 	699,719 "," 	705,545 "," 	712,387 "," 	724,185 "," 	735,670 "," 	747,119 "," 	755,573 "," 	767,324 "," 	776,794 "," 	781,220 "," 	784,289 "," 	787,696 "," 	802,328 "," 	805,856 "
